name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank,province_en,province_th
PuaiNoi,เปือยน้อย,83.93793333333333,15.0,8.0,17,KhonKaen,ขอนแก่น
WiangKao,ภูเวียง,80.81386363636364,22.0,15.0,18,KhonKaen,ขอนแก่น
NongRua,หนองเรือ,80.70203571428571,168.0,59.0,19,KhonKaen,ขอนแก่น
K.BanHaet,กิ่งบ้านแฮด,78.558875,56.0,27.0,20,KhonKaen,ขอนแก่น
Kranuan,กระนวน,75.9198282504013,623.0,55.0,21,KhonKaen,ขอนแก่น
K.KhokPhoCha,กิ่งโคกโพธิ์ชัย,74.73466666666667,24.0,12.0,22,KhonKaen,ขอนแก่น
PhupaMan,ภูผาม่าน,69.81419767441861,86.0,38.0,23,KhonKaen,ขอนแก่น
PhuWiang,ภูเวียง,66.72320588235294,68.0,26.0,24,KhonKaen,ขอนแก่น
PhraYun,พระยืน,62.733300970873785,103.0,36.0,25,KhonKaen,ขอนแก่น
WaengNoi,แวงน้อย,51.942674418604646,43.0,20.0,26,KhonKaen,ขอนแก่น
Samoeng,สะเมิง,215.22311637931034,232.0,43.0,1,ChiangMai,เชียงใหม่
MuangChiangMai,เมืองเชียงใหม่,145.50089296249473,7119.0,315.0,2,ChiangMai,เชียงใหม่
K.MaeOn,กิ่งแม่ออน,136.30031451612902,124.0,39.0,3,ChiangMai,เชียงใหม่
SanPaTong,สันป่าตอง,112.51049714285715,350.0,93.0,4,ChiangMai,เชียงใหม่
MaeRim,แม่ริม,110.38862160413971,1546.0,239.0,5,ChiangMai,เชียงใหม่
K.DoiLo,กิ่งดอยหล่อ,107.83544444444443,72.0,29.0,6,ChiangMai,เชียงใหม่
MaeChaem,แม่แจ่ม,107.09963186813187,182.0,62.0,7,ChiangMai,เชียงใหม่
HangDong,หางดง,102.76793638676844,786.0,186.0,8,ChiangMai,เชียงใหม่
Saraphi,สารภี,100.65703476821191,604.0,155.0,9,ChiangMai,เชียงใหม่
SanSai,สันทราย,100.26165379113019,1398.0,264.0,10,ChiangMai,เชียงใหม่
SanKamphaeng,สันกำแพง,88.48917718120805,745.0,153.0,11,ChiangMai,เชียงใหม่
ChiangDao,เชียงดาว,81.6746061452514,358.0,128.0,12,ChiangMai,เชียงใหม่
Fang,ฝาง,81.2461086474501,451.0,156.0,13,ChiangMai,เชียงใหม่
WiangHaeng,เวียงแหง,80.89014285714285,98.0,27.0,14,ChiangMai,เชียงใหม่
DoiSaket,ดอยสะเก็ด,80.10073720136519,586.0,190.0,15,ChiangMai,เชียงใหม่
ChaiPrakarn,ไชยปราการ,79.56529464285714,112.0,36.0,16,ChiangMai,เชียงใหม่
ChomThong,จอมทอง,78.88478504672896,321.0,102.0,17,ChiangMai,เชียงใหม่
Phrao,พร้าว,66.8675925925926,108.0,57.0,18,ChiangMai,เชียงใหม่
MaeTaeng,แม่แตง,65.78835897435897,429.0,136.0,19,ChiangMai,เชียงใหม่
MaeWang,แม่วาง,60.88045384615385,130.0,51.0,20,ChiangMai,เชียงใหม่
Hot,ฮอด,55.926345454545455,165.0,54.0,21,ChiangMai,เชียงใหม่
MaeAi,แม่อาย,48.283699228791775,389.0,76.0,22,ChiangMai,เชียงใหม่
DoiTao,ดอยเต่า,46.59792727272727,55.0,23.0,23,ChiangMai,เชียงใหม่
Omkoi,อมก๋อย,31.29228125,64.0,30.0,24,ChiangMai,เชียงใหม่
Kathu,กะทู้,192.4660972012103,2644.0,102.0,1,Phuket,ภูเก็ต
MuangPhuket,เมืองภูเก็ต,177.87450346342288,5919.0,324.0,2,Phuket,ภูเก็ต
Thalang,ถลาง,160.86553806695466,3704.0,318.0,3,Phuket,ภูเก็ต
BangLamung,บางละมุง,153.10730902177673,14465.0,650.0,1,ChonBuri,ชลบุรี
MuangChonBuri,เมืองชลบุรี,149.95452864512626,7366.0,513.0,2,ChonBuri,ชลบุรี
SiRacha,ศรีราชา,139.60618277927875,8513.0,821.0,3,ChonBuri,ชลบุรี
KoSichang,เกาะสีชัง,129.85179310344827,29.0,6.0,4,ChonBuri,ชลบุรี
PhanThong,พานทอง,118.61990356798457,2074.0,226.0,5,ChonBuri,ชลบุรี
Sattahip,สัตหีบ,113.20216536827195,2824.0,340.0,6,ChonBuri,ชลบุรี
BanBung,บ้านบึง,102.48568414918415,1716.0,324.0,7,ChonBuri,ชลบุรี
PhanatNikhom,พนัสนิคม,86.27020752427184,824.0,226.0,8,ChonBuri,ชลบุรี
NongYai,หนองใหญ่,84.45195505617978,267.0,87.0,9,ChonBuri,ชลบุรี
BoThong,บ่อทอง,71.42685652173913,230.0,85.0,10,ChonBuri,ชลบุรี
K.KoChan,กิ่งเกาะจันทร์,69.68670621468927,177.0,57.0,11,ChonBuri,ชลบุรี
KhlongHoiKong,คลองหอยโข่ง,179.4071626712329,584.0,54.0,1,Songkhla,สงขลา
MuangSongkhla,เมืองสงขลา,139.0294349258649,2428.0,171.0,2,Songkhla,สงขลา
HatYai,หาดใหญ่,120.68473323804574,7696.0,468.0,3,Songkhla,สงขลา
SabaYoi,สะบ้าย้อย,115.65286390532545,338.0,78.0,4,Songkhla,สงขลา
Rattaphum,รัตภูมิ,111.63062795275592,508.0,113.0,5,Songkhla,สงขลา
NaThawi,นาทวี,109.0577190226876,573.0,103.0,6,Songkhla,สงขลา
Sadao,สะเดา,81.94254841040461,1384.0,187.0,7,Songkhla,สงขลา
Chana,จะนะ,78.74027253218884,466.0,114.0,8,Songkhla,สงขลา
BangKlam,บางกล่ำ,75.17810215053764,186.0,66.0,9,Songkhla,สงขลา
SathingPhra,สทิงพระ,72.20552,75.0,30.0,10,Songkhla,สงขลา
SinghaNakhon,สิงหนคร,70.6008109589041,365.0,67.0,11,Songkhla,สงขลา
NaMom,นาหม่อม,70.10325991189427,227.0,42.0,12,Songkhla,สงขลา
KrasaeSinthu,กระแสสินธุ์,65.527,5.0,4.0,13,Songkhla,สงขลา
SongkhlaLake,NA,58.932,6.0,3.0,14,Songkhla,สงขลา
Thepha,เทพา,56.50141262135922,206.0,87.0,15,Songkhla,สงขลา
Ranot,ระโนด,54.88597297297297,148.0,47.0,16,Songkhla,สงขลา
KhuanNiang,ควนเนียง,51.255971962616826,107.0,42.0,17,Songkhla,สงขลา
BanChang,บ้านฉาง,156.42744976076554,836.0,160.0,1,Rayong,ระยอง
MuangRayong,เมืองระยอง,146.96764816456817,5639.0,663.0,2,Rayong,ระยอง
K.KhaoChamao,กิ่งเขาชะเมา,134.23805263157897,76.0,47.0,3,Rayong,ระยอง
PluakDaeng,ปลวกแดง,128.59707847724374,4702.0,488.0,4,Rayong,ระยอง
K.NikhomPattan,กิ่งนิคมพัฒนา,103.58925510204081,980.0,239.0,5,Rayong,ระยอง
BanKhai,บ้านค่าย,95.72057320441989,724.0,170.0,6,Rayong,ระยอง
WangChan,วังจันทร์,93.05659670781893,243.0,65.0,7,Rayong,ระยอง
Klaeng,แกลง,84.13727485380116,855.0,238.0,8,Rayong,ระยอง
