name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank,province_en,province_th
BoThong,บ่อทอง,299.81144827586206,841.0,166.0,9,ChonBuri,ชลบุรี
BangLamung,บางละมุง,293.92453596836145,43997.0,758.0,10,ChonBuri,ชลบุรี
KoSichang,เกาะสีชัง,291.98106896551724,116.0,10.0,11,ChonBuri,ชลบุรี
BangKlam,บางกล่ำ,354.12424766355144,642.0,101.0,1,Songkhla,สงขลา
KhuanNiang,ควนเนียง,353.01967941176474,340.0,62.0,2,Songkhla,สงขลา
SinghaNakhon,สิงหนคร,351.68374920297555,941.0,128.0,3,Songkhla,สงขลา
HatYai,หาดใหญ่,323.23779405693176,18408.0,610.0,4,Songkhla,สงขลา
KhlongHoiKong,คลองหอยโข่ง,317.99951474201475,814.0,109.0,5,Songkhla,สงขลา
NaMom,นาหม่อม,314.1034901574803,508.0,65.0,6,Songkhla,สงขลา
MuangSongkhla,เมืองสงขลา,299.8063142044107,4217.0,226.0,7,Songkhla,สงขลา
KrasaeSinthu,กระแสสินธุ์,278.9909016393443,61.0,20.0,8,Songkhla,สงขลา
NaThawi,นาทวี,267.77284734513273,452.0,93.0,9,Songkhla,สงขลา
Chana,จะนะ,266.1424481054366,607.0,156.0,10,Songkhla,สงขลา
SongkhlaLake,NA,254.43616666666665,6.0,4.0,11,Songkhla,สงขลา
Sadao,สะเดา,244.97987549971447,1751.0,220.0,12,Songkhla,สงขลา
SathingPhra,สทิงพระ,242.96366295264625,359.0,69.0,13,Songkhla,สงขลา
Rattaphum,รัตภูมิ,237.75751834862385,654.0,149.0,14,Songkhla,สงขลา
Ranot,ระโนด,233.25166836734695,392.0,76.0,15,Songkhla,สงขลา
SabaYoi,สะบ้าย้อย,228.18622189349114,338.0,73.0,16,Songkhla,สงขลา
Thepha,เทพา,201.36414912280702,456.0,97.0,17,Songkhla,สงขลา
K.KhaoChamao,กิ่งเขาชะเมา,391.769741697417,271.0,89.0,1,Rayong,ระยอง
BanKhai,บ้านค่าย,363.77439809976244,2105.0,301.0,2,Rayong,ระยอง
PluakDaeng,ปลวกแดง,361.15132959531934,6153.0,505.0,3,Rayong,ระยอง
BanChang,บ้านฉาง,349.77682608695653,3565.0,226.0,4,Rayong,ระยอง
K.NikhomPattan,กิ่งนิคมพัฒนา,347.51789482306685,3052.0,340.0,5,Rayong,ระยอง
WangChan,วังจันทร์,345.2352546816479,534.0,113.0,6,Rayong,ระยอง
Klaeng,แกลง,328.1032774027644,3111.0,514.0,7,Rayong,ระยอง
MuangRayong,เมืองระยอง,318.4394718640094,17060.0,798.0,8,Rayong,ระยอง
